author,url,text,section,title,sub_title,date,_id
Prensa Latina -,https://www.brasil247.com/pt/247/mundo/389041/Ministro-russo-vai-%C3%A0-Coreia-do-Norte-preparar-visita-de-Kim-Jong-Un-%C3%A0-R%C3%BAssia.htm," O ministro do Interior da Rússia, Vladimir Kolokoltev, concluiu nesta quarta-feira (3) uma visita oficial à República Popular Democrática da Coreia (RPDC). A agência de notícias russa TASS situa essa visita no contexto da preparação de uma visita do líder norte-coreano Kim Jong Un à Rússia.
Durante sua estada em Pyongyang o ministro russo cumpriu uma intensa agenda e se reuniu com o membro do Birô Político do Comitê Central do Partido do Trabalho da Coreia e presidente da Assembleia Popular Suprema da RPDC, Kim Jong Nam.
Durante a visita os dois lados trocaram opiniões sobre o desenvolvimento das relações de amizade entre os dois países e temas de interesse mútuo, declarou à Prensa Latina uma fonte diplomática russa.
.",mundo,"
        Ministro russo vai à Coreia do Norte preparar visita de Kim Jong Un à Rússia
          ","O ministro do Interior da Rússia, Vladimir Kolokoltev, concluiu nesta quarta-feira (3) uma visita oficial à República Popular Democrática da Coreia (RPDC). A agência de notícias russa TASS situa essa visita no contexto da preparação de uma visita do líder norte-coreano Kim Jong Un à Rússia","3 de Abril de 2019 às 08:50
            ",
Sputnik -,https://www.brasil247.com/pt/247/mundo/389017/Marinha-do-Brasil-fecha-acordo-com-alem%C3%A3es-por-corvetas.htm," Troca de promessas e muitos afagos marcaram o anúncio dos planos futuros da Marinha do Brasil, anunciados nesta terça-feira (2) na 12ª LAAD Defence & Security, a mais importante feira de Defesa e Segurança da América Latina. Uma parceria para quatro novas corvetas foi anunciada no evento, que vai até sexta-feira no Rio de Janeiro.
O consórcio Águas Azuis, formado pela alemã Thyssenkrupp Marine Systems, pela brasileira Embraer Defesa & Segurança, e pela Atech, subsidiária do Grupo Embraer, venceu a disputa para a construção de quatro navios de defesa no Programa CCT – Corvetas Classe Tamandaré, cujos custos são estimados em R$ 6,4 bilhões.
Com a presença do presidente em exercício do Brasil, Antônio Hamilton Mourão, o comandante da Marinha do Brasil, almirante Ilques Barbosa Júnior celebrou o acordo – que integra o Programa Estratégico Construção do Núcleo do Poder Naval –, que durou 15 meses e contou ainda com a participação dos consórcios Damen Saab Tamandaré, FLV e Villegaignon.
""Hoje é um dia de muita felicidade para a nossa Marinha, para o nosso país"", destacou o almirante brasileiro em entrevista coletiva.
Diante do clima amistoso do evento, sobrou tempo para o comandante da Marinha brasileira relembrar a trágica semifinal da Copa do Mundo de 2014, entre Brasil e Alemanha, ao confundir o nome do embaixador da Alemanha no Brasil, Georg Witschel, com o do governador do Rio, Wilson Witzel.
""Não minimiza o 7 a 1..."", continuou, arrancando risos e aplausos dos presentes ao pavilhão 5 do Riocentro.
Para o CEO da Thyssenkrupp Marine Systems, Rolf Wirtz, é uma honra integrar o programa da Marinha do Brasil. Entre elogios ao processo seletivo das propostas, o executivo alemão destacou que a parceria com a Embraer e com a Marinha tende a render frutos no futuro, incluindo a possibilidade de exportações de corvetas como as da Classe Tamandaré para outros países.
""O programa visa a defesa das águas brasileiras e terá maiores efeitos no futuro"", ponderou Wirtz.
O presidente e CEO da Embraer Defence & Security, Jackson Schneider, reforçou as palavras do parceiro alemão, ressaltando que o acordo acontece justamente no início das celebrações pelos 50 anos de fundação da Embraer, empresa esta que continuará, segundo ele, servindo ao Brasil.
""A obtenção dos navios é marca extremamente relevante para a evolução do projeto estratégico de construção do núcleo do poder naval, pois contribuirá para que a Marinha do Brasil alcance melhores condições operacionais a fim de cumprir as suas responsabilidades na Amazônia Azul e sempre que necessário nos compromissos internacionais do Brasil"", acrescentou Mourão, que ocupa a Presidência da República durante a visita oficial ao Estado de Israel.
De acordo com a proposta vencedora, as quatro corvetas serão entregues entre 2024 e 2028. O projeto terá 31,6% de conteúdo nacional para o primeiro navio, e 41% para as outras três embarcações, garantindo assim transferência de tecnologias e capacitação de mão de obra nacional. O estaleiro que abrigará a construção dos navios é o Oceana, em Itajaí (SC).
O acerto com os alemães atende a um antigo anseio dos militares brasileiros, que demandavam novas embarcações para patrulhar nada menos do que 4,5 milhões de quilômetros quadrados da chamada Amazônia Azul, que corresponde às águas jurisdicionais brasileiras.
O anúncio desta terça-feira acontece quatro meses após outra boa notícia para a Marinha do Brasil, que lançou ao mar em dezembro do ano passado o submarino Riachuelo, o primeiro dos cinco previstos a ser entregue pelo Programa de Desenvolvimento de Submarinos (Prosub).
A LAAD 2019 acontece entre os dias 2 e 5 de abril no Riocentro, no Rio de Janeiro, reunindo mais de 450 marcas nacionais e internacionais que vão exibir as últimas novidades em soluções, tecnologias, equipamentos e serviços para toda a cadeia de defesa, segurança pública e corporativa. A estimativa da organização é um público de 38.200 mil profissionais qualificados, em quatro dias de evento.",mundo,"
        Marinha do Brasil fecha acordo com alemães por corvetas
          ","Troca de promessas e muitos afagos marcaram o anúncio dos planos futuros da Marinha do Brasil, anunciados nesta terça-feira (2) na 12ª LAAD Defence & Security, a mais importante feira de Defesa e Segurança da América Latina. Uma parceria para quatro novas corvetas foi anunciada no evento, que vai até sexta-feira no Rio de Janeiro","3 de Abril de 2019 às 05:18
            ",
Rede Brasil Atual,https://www.brasil247.com/pt/247/brasil/389048/Com-par%C3%B3dia-de-s%C3%A9rie-da-Netflix-v%C3%ADdeo-define-o-%E2%80%98Sistema%E2%80%99-que-aprisiona-Lula.htm," - ""Quando o sistema se junta para tomar o poder, sobra para nós aqui embaixo"", diz a locução do vídeo divulgado hoje (2) sobre a Jornada Lula Livre, que dos dias 7 a 10 vai promover uma série de atos no Brasil e em 15 países em defesa da liberdade do ex-presidente Luiz Inácio Lula da Silva, preso na sede da Polícia Federal, em Curitiba, desde 7 de abril do ano passado.
Lula é acusado de corrupção e lavagem de dinheiro sem provas, em um processo da Operação Lava Jato marcado por pela seletividade política, por delações de empresários convenientes aos acusadores e pela condenação prévia por meio da imprensa e que serviu para tirá-lo das eleições.
Na narrativa e na produção iconográfica, o vídeo faz referência à série da Netflix, O Mecanismo, do diretor José Padilha, de Tropa de Elite, que exalta a atuação da Operação Lava Jato contra Lula. Desta vez, em vez de O Mecanismo, o título é O Sistema' em alusão aos ataques de que o país tem sido vítima, desde as eleições de 2014.
E que de certa forma traduzem o sentido do termo lawfare – uso do sistema de Justiça com o objetivos políticos –, com operadores vêm classificando no Brasil e no mundo os processos contra o ex-presidente.
""Mídia, judiciário, banqueiros, os protegidos, uma país sem esperança, um país sem lei, sem vergonha, onde a Globo acusa, o Judiciário condena e o povo é que paga a conta"", afirma o narrador, ""cortando pobres, idosos, trabalhadores, estudantes, cortam tudo, o sistema é foda"", diz, ironizando a narrativa da produção de Padilha, em meio a imagens de pobreza, ataques a direitos, políticos que protagonizaram o golpe de 2016, a prisão de Lula e a vitória de Bolsonaro.
""Quem vai contra (o sistema), eles não perdoam"", afirma o narrador, mostrando imagens de Lula e também da vereadora do Rio de Janeiro Marielle Franco, assassinada por milicianos em 14 de março do ano passado.
O processo contra Lula é considerado difamatório e injusto e tem provocado indignação no Brasil e no exterior. O caso está sendo analisado pelo Comitê de Direitos Humanos da Organização das Nações Unidas.
Além disso, enquanto setores da mídia brasileira e do Judiciário tentam destruir a imagem do ex-presidente, ele é indicado ao prêmio Nobel da Paz em função de seu legado no combate à fome e à miséria.",brasil,"
        Com paródia de série da Netflix, vídeo define o ‘Sistema’ que aprisiona Lula
          ","""Quando o sistema se junta para tomar o poder, sobra para nós aqui embaixo"", diz a locução do vídeo sobre a Jornada Lula Livre, que dos dias 7 a 10 vai promover atos no Brasil e em 15 países em defesa da liberdade do ex-presidente; o vídeo faz referência à série da Netflix, O Mecanismo, que exalta a atuação da Operação Lava Jato contra Lula; em vez de O Mecanismo, o título é O Sistema' em alusão aos ataques de que o país tem sido vítima, desde as eleições de 2014","3 de Abril de 2019 às 09:22
            ",
247,https://www.brasil247.com/pt/247/poder/388379/L%C3%ADderes-j%C3%A1-falam-em-risco-de-%E2%80%98governabilidade%E2%80%99.htm," - Um ex-ministro e ex-líder no Congresso Nacional avalia que o governo Jair Bolsonaro ""segue rumo ao precipício e ignora placas de perigo"", conforme aponta a 
Coluna do Estadão
. Segundo este ex-ministro, parlamentares não devem entrar na pilha dos bolsonaristas e deviam tocar a bola de lado porque o tempo joga contra o governo.
Segundo Marcelo Ramos (AM), vice-líder do PR, ""buscar um consenso mínimo na reforma, ainda que sem o impacto fiscal esperado neste primeiro momento, pode ser um caminho para mostrar que o País ainda é governável"".
Parlamentares também não gostaram da frase dita pelo ministro da Economia, Paulo Guedes:, e que soou como chantagem: ""tenho uma vida fora daqui"", afirmou o titular da pasta em audiência na Comissão de Assuntos Econômicos do Senado.
 Bolsonaro vai começar a receber presidentes dos partidos assim que voltar de Jerusalém (Israel). 
Na última quinta-feira (23), o presidente da Câmara dos Deputados, Rodrigo Maia (DEM-RJ), disse à TV Globo que Jair Bolsonaro precisa de ""menos tempo cuidando do Twitter"". Também afirmou que o governo é um ""deserto de ideias"", em matéria publicada pelo jornal O Estado de S.Paulo no dia seguinte.
Em outra ocasião, durante entrevista a jornalistas, o parlamentar pediu paz a Bolsonaro. ""Daqui para frente, eu não respondo mais nenhuma gracinha, nenhuma insinuação, nada; o que a gente precisa é que ele trabalhe, o Brasil precisa da reforma (...). Só vou ter uma pauta com vocês (imprensa) que é a Previdência"", disse.",poder,"
        Líderes já falam em risco de ‘governabilidade’
          ","Segundo Marcelo Ramos (AM), vice-líder do PR, ""buscar um consenso mínimo na reforma, ainda que sem o impacto fiscal esperado neste primeiro momento, pode ser um caminho para mostrar que o País ainda é governável""","28 de Março de 2019 às 07:45
            ",
Sputnik -,https://www.brasil247.com/pt/247/mundo/389018/Para-especialista-instala%C3%A7%C3%A3o-de-escrit%C3%B3rio-em-Jerusal%C3%A9m-pode-ser-'desastrosa'-para-o-Brasil.htm," Pegou mal entre os países árabes a decisão de Jair Bolsonaro de instalar um escritório de cooperação comercial e diplomática em Jerusalém, capital disputada entre Israel e Palestina. Após a repercussão, o presidente se propôs a se reunir com líderes árabes e esclarecer a posição do Brasil. Em entrevista à Sputnik, especialista comenta o episódio.
Para o professor de Direito Internacional da Universidade Presbiteriana Mackenzie, Clayton Vinícius Pergoraro, a visita do mandatário brasileiro a Israel deveria ter se focado em questões de fortalecimento da cooperação tecnológica, transferência de know how militar e oportunidades para o agronegócio. Ele classificou a decisão de instalar o escritório em Jerusalém como ""potencialmente desastrosa para o país"".
Maior exportador de carne halal do mundo — aquela na qual o abatimento do animal segue os preceitos muçulmanos —, o Brasil poderia ser retaliado com embargos por nações árabes que apoiam a Palestina. Em decorrência do problema, Pergoraro aposta em um acordo com os Emirados Árabes ""por questões de negócios e também por uma questão de turismo e estratégica, sem descartar a possibilidade de reunião com a Arábia Saudita e outros países que congregasse a conversa"".
""O Brasil tem um padrão altíssimo de proteína animal e ignorar este mercado [de carne halal] não teria o menor cabimento. Eles [os países árabes] podem reduzir drasticamente a importação da nossa carne, uma medida que seria horrível para a balança comercial do país. É uma questão menos que jurídica e mais econômica, matemática"", avalia o professor.
Clayton também destacou que os países árabes vão pressionar Bolsonaro e a continuidade das boas relações comerciais demandaram empenho ao prestar explicações.
""Historicamente existe uma questão colocada entre Israel e o Oriente Médio e não tem nenhum porquê essa decisão [de instalar o escritório]. Teremos que dar uma resposta e explicar se trata-se de uma questão econômica, armamentista, seja o que for"", finaliza.",mundo,"
        Para especialista, instalação de escritório em Jerusalém pode ser 'desastrosa' para o Brasil
          ","Pegou mal entre os países árabes a decisão de Jair Bolsonaro de instalar um escritório de cooperação comercial e diplomática em Jerusalém, capital disputada entre Israel e Palestina; após a repercussão, o presidente se propôs a se reunir com líderes árabes e esclarecer a posição do Brasil; em entrevista à Sputnik, especialista comenta o episódio","3 de Abril de 2019 às 05:26
            ",
Prensa Latina -,https://www.brasil247.com/pt/247/mundo/389033/Espanha-resgata-100-migrantes-no-Mediterr%C3%A2neo.htm," As autoridades da Espanha resgataram nesta terça-feira (2), 100 pessoas que tentavam chegar à costa sul deste país em três embarcações precárias, informou o Salvamento Marítimo.
Os imigrantes, entre eles 15 mulheres e três menores de idade, viajavam a bordo de três barcos rudimentares em diferentes pontos do mar de Alborán, na parte mais ocidental do Mediterrâneo.
Todos os socorridos foram transportados pelos guarda-costas de Salvamento ao porto de Almeria, localizado na comunidade autônoma da Andaluzia, ao sul da Espanha, a região desta nação ibérica mais castigada pela imigração irregular.
Um total de 5.628 migrantes chegaram a Espanha por mar entre 1º de janeiro e 31 de março de 2019, frente aos 3.385 contabilizados no mesmo período do ano anterior, segundo o mais recente balanço difundido pelo governo.
Com a entrada de 65.325 pessoas, a Espanha converteu-se em 2018 na primeira via de acesso de migrantes e refugiados à União Européia, na frente da Grécia e da Itália, de acordo com a Organização Internacional para as Migrações (OIM).
No ano de 2019, ao menos 73 pessoas perderam a vida no mar Mediterrâneo tentando atingir o litoral espanhol, precisou a OIM.
Essas cifras não incluem o naufrágio no mês passado de um barco no mar de Alborán, que pode ter resultado na morte ou desaparecimento de 45 pessoas, denunciou a ONG Caminhando Fronteiras.
Os dados também não incorporam a morte nesta segunda-feira (1º/4) de um imigrante ilegal, depois de ser resgatado por navios de Salvamento Marítimo no Estreito de Gibraltar - que separa a Europa da África - junto a outros 12 imigrantes de origem subsaariana.",mundo,"
        Espanha resgata 100 migrantes no Mediterrâneo
          ","As autoridades da Espanha resgataram nesta terça-feira (2), 100 pessoas que tentavam chegar à costa sul deste país em três embarcações precárias, informou o Salvamento Marítimo","3 de Abril de 2019 às 07:50
            ",
247 -,https://www.brasil247.com/pt/247/mundo/388982/Museu-do-Holocausto-confirma-que-nazismo-%C3%A9-de-direita-e-faz-Bolsonaro-dar-vexame-em-Israel.htm," O presidente Jair Bolsonaro visitou nesta terça-feira (2) o centro de memória do Holocausto Yad Vashem, em Jerusalém, museu público israelense que lembra as vítimas e aqueles que combateram o genocídio de seis milhões de judeus pelos nazistas.
Em seu site, a instituição traz um breve histórico sobre a ascensão do partido nazista na Alemanha entre guerras.
Bolsonaro visitou a exposição Flashes of Memory – Fotografia durante o Holocausto. Ele também depositou flores em homenagem às vítimas do nazismo e assinou o livro de honra do memorial.
Ao abordar a situação alemã após o Tratado de Versailles, que selou a paz entre as principais potências europeias após a Primeira Guerra, o museu explica que havia um clima de frustração que, ""junto a intransigente resistência e alertas sobre a crescente ameaça do Comunismo, criou solo fértil para o crescimento de grupos radicais de direita na Alemanha, gerando entidades como o Partido Nazista"".
Leia reportagem da Reuters sobre o assunto:
Não há dúvida de que nazismo foi movimento de esquerda, diz Bolsonaro em Israel
O presidente Jair Bolsonaro fez nesta terça-feira eco às declarações do ministro das Relações Exteriores, Ernesto Araújo, ao afirmar que ""não há dúvida"" de que o nazismo foi um movimento de esquerda, durante entrevista a jornalistas em Israel.
Para embasar seu argumento, o presidente procurou lembrar o nome oficial do Partido Nazista.
""Não há dúvida, né? Partido Socialista, como é que é?"", respondeu Bolsonaro quando indagado por um repórter se concordava com a declaração de Araújo, dada recentemente e posteriormente reiterada, de que o nazismo, que governou a Alemanha de 1933 a 1945, quando o país foi derrotado na Segunda Guerra Mundial, era um movimento de esquerda.
""Partido Nacional Socialista da Alemanha"", completou o presidente ao ser lembrado do que seria o nome oficial do partido nazista, de Adolf Hitler. Na verdade, o nome completo era Partido Nacional-Socialista dos Trabalhadores Alemães.
Um dos compromissos de Bolsonaro em sua visita a Israel foi uma visita ao Yad Vashem, o museu mundial do Holocausto, quando 6 milhões de judeus foram assassinados pela Alemanha nazista de Hitler. O site do museu traz a história do Holocausto e a ascensão do nazismo da Alemanha. De acordo com o site, o Partido Nazista teve origem em grupos radicais de direita.
""Hitler e o Partido Nazista chegaram ao poder devido a circunstâncias sociais e políticas que caracterizaram o período entre-guerras na Alemanha. Muitos alemães não podiam admitir a derrota de seu país na Primeira Guerra Mundial, argumentando que 'traições' e a fragilidade na retaguarda paralisaram e, eventualmente, causaram o colapso na frente de batalha"", afirma o museu em seu site em um texto em inglês.
""Essa frustração, junto com a resistência intransigente e alertas sobre a crescente ameaça do comunismo, criou solo fértil para o crescimento de grupos radicais de direita na Alemanha, gerando entidades como o Partido Nazista.""
O texto do Yad Vashem sobre o surgimento do nazismo na Alemanha pode ser visto no endereço 
here
.",mundo,"
        Museu do Holocausto confirma que nazismo é de direita e faz Bolsonaro dar vexame em Israel
          ","Enquanto recebia a visita do presidente Jair Bolsonaro, o Museu do Holocausto traz em site um histórico que atesta o óbvio, comprovado e reiterado historicamente: o Nazismo, que matou seis milhões de judeus, foi um movimento de extrema-direita, surgido em meio aos reflexos do Tratado de Versailles e à resistência à ""crescente ameaça do Comunismo""; Bolsonaro, no entanto, ignorou a história e repetiu o que disse seu chanceler, Ernesto Araújo, que o nazismo foi um movimento de esquerda, usando como única justificativa o nome do partido de Adolf Hitler","2 de Abril de 2019 às 15:45
            ",
247 ,https://www.brasil247.com/pt/247/poder/388492/Lula-debate-n%C3%A3o-pode-ser-s%C3%B3-nas-redes-%C3%A9-preciso-discutir-olho-no-olho.htm,"- Preso há quase um ano em Curitiba, o ex-presidente Lula (PT) recebeu nesta quinta-feira (28) João Paulo Rodrigues, dirigente nacional do MST, e Moises Selerges, da direção do Sindicato dos Metalúrgicos do ABC. Durante a visita, eles conversaram sobre a conjuntura nacional e sobre o papel fundamental do movimento social e sindical na resistência contra os retrocessos impostos pelo atual governo.
“Encontramos um líder, com o mesmo semblante de estadista. Ele reforçou que esse é o momento para fazermos a luta e discutir com o povo. E ainda fez uma reclamação. Ele disse que não é momento de fazer o embate só WhatsApp e Twitter, que o momento é de discutir olho no olho, nas ruas, com um por um. É assim que nós vamos vencer essa batalha, com trabalho de base”, relatou João Paulo Rodrigues.
A proposta de reforma da Previdência e o fechamento de fábricas no ABC também entraram na pauta do encontro. De acordo com Moises Selerges, Lula também demonstrou preocupação com o tema da soberania nacional, fragilizada com os desmandos do governo Bolsonaro.
“Vim rever um amigo, depois de 356 dias, daquele dia no sindicato. Encontrei um homem inocente e indignado, que demonstra o tempo todo uma preocupação muito grande com a soberania do país. E ele reforçou que a soberania não se trata apenas da questão do petróleo, da água, das florestas, mas também de um país com comida na mesa do trabalhador”, afirmou o metalúrgico. “Saio daqui lembrando do quanto o Brasil precisa do Lula livre.",poder,"
        Lula: debate não pode ser só nas redes, é preciso discutir olho no olho
          ","O ex-presidente Lula recebeu nesta quinta-feira (28) as visitas do dirigente nacional do MST João Paulo Rodrigues e diretor do Sindicato dos Metalúrgicos do ABC, Moises Selerges; a eles, Lula disse que o trabalho da militância deve ser na base e também fora das redes sociais; ""Encontramos um líder, com o mesmo semblante de estadista. Ele reforçou que esse é o momento para fazermos a luta e discutir com o povo. E ainda fez uma reclamação. Ele disse que não é momento de fazer o embate só WhatsApp e Twitter, que o momento é de discutir olho no olho, nas ruas, com um por um. É assim que nós vamos vencer essa batalha, com trabalho de base”, relatou João Paulo Rodrigues","28 de Março de 2019 às 20:08
            ",
247 -,https://www.brasil247.com/pt/247/cultura/388182/Jo%C3%A3o-Gilberto-vence-Universal-Music-na-Justi%C3%A7a.htm," Por 3 a 0, o Tribunal de Justiça do Rio de Janeiro confirmou em segunda instância, nesta terça-feira (26), vitória do compositor João Gilberto sobre a Universal Music, informa 
Lauro Jardim
. O criador da Bossa Nova reclamava de direitos autorais não pagos pela gravadora desde 1964.
Originalmente, a ré da ação movida por João Gilberto era a gravadora EMI, hoje incorporada pela Universal Music. 
A EMI já fora condenada a pagar os 
 sobre os três primeiros álbuns de João Gilberto: ""Chega de saudade"" (1959), ""O amor, o sorriso e a flor"" (1960) e João Gilberto (1961).
Nesta ação atual, ""João acusou a Universal de ter esvaziado o patrimônio da EMI para não ter que pagar o que lhe deve"", informa Jardim.
Cabe recurso ao STJ.",cultura,"
        João Gilberto vence Universal Music na Justiça
          ","Por 3 a 0, o Tribunal de Justiça do Rio de Janeiro confirmou em segunda instância, nesta terça-feira (26), vitória do compositor João Gilberto sobre a Universal Music, informa Lauro Jardim; o criador da Bossa Nova reclamava de direitos autorais não pagos pela gravadora desde 1964","26 de Março de 2019 às 15:54
            ",
247 -,https://www.brasil247.com/pt/247/cultura/388211/Gil-critica-celebra%C3%A7%C3%A3o-ao-golpe-de-64-ao-relembrar-censura-%C3%A0-m%C3%BAsica-'C%C3%A1lice'.htm," O cantor e compositor Gilberto Gil publicou em sua página nas redes sociais a imagem do documento que revela a censura imposta pelo regime na música ""Cálice"", composta por ele e por Chico Buarque.
Com a hashtag ""DitaduraNuncaMais"", Gil lembrou da ação dos órgãos de repressão da ditadura, em uma clara crítica à orientação do governo Jair Bolsonaro aos quartéis para que fizessem atos em comemoração do golpe de 1964.
A música foi proibida de ser gravada e cantada em 1973. Gil desafiou a censura e cantou a música em um show para os estudantes, na Politécnica, em homenagem ao estudante de geologia da USP Alexandre Vanucchi Leme (o Minhoca), morto pelo regime.
Posteriormente, durante o show ""Phono 73"", festival promovido pela Polygram, Chico Buarque e Gilberto Gil tiveram os microfones desligados quando iriam cantar ""Cálice"", por decisão da própria produção do show, que não quis criar problemas com a ditadura.
A canção emblemática retrata o silenciamento imposto pelo regime, os desaparecimentos, torturas e mortes ocorridas durante os anos de chumbo no Brasil.
#DitaduraNuncaMais
 
pic.twitter.com/yPvJ1g9zVv",cultura,"
        Gil critica celebração ao golpe de 64 ao relembrar censura à música 'Cálice'
          ","Com a hashtag ""DitaduraNuncaMais"", Gil lembrou da ação dos órgãos de repressão da ditadura, em uma clara crítica à orientação do governo Jair Bolsonaro aos quartéis para que fizessem atos em comemoração do golpe de 1964","26 de Março de 2019 às 20:48
            ",
